"","x"
"1","A0A075B5P6"
"2","A0A087WPL1"
"3","A0A087WS03"
"4","A0A0A6YW77"
"5","A0A0G2JEG3"
"6","Q6NS54"
"7","A0A0R4J0I1"
"8","A0A1B0GR19"
"9","A0A1B0GT66"
"10","A0A1D5RMI0"
"11","A0A1L1SV25"
"12","A0A1Y7VM54"
"13","E9Q390"
"14","A0A2I3BQF4"
"15","A0A2R8VKS6"
"16","A0A338P7L8"
"17","A0A3B2W3V4"
"18","D3YU09"
"19","A0A494BBD8"
"20","A1BN54"
"21","A2A6T9"
"22","A2A998"
"23","A2AFS1"
"24","A2BIN1"
"25","Q58EV3"
"26","H3BJY1"
"27","B1AQR8"
"28","B7FAU9"
"29","B9EHJ3"
"30","F6VQH5"
"31","D3YV37"
"32","D3YVC1"
"33","H3BLI9"
"34","D3YYD0"
"35","D3YZ46"
"36","E9PVU0"
"37","G3X9T8"
"38","E9Q5F4"
"39","E9Q9C5"
"40","F6YVP7"
"41","F7CUQ1"
"42","F8WIP8"
"43","G3X8T3"
"44","M0QWU8"
"45","O08529"
"46","O08692"
"47","Q3TMX0"
"48","O35639"
"49","O35841"
"50","P03953"
"51","P07724"
"52","P08207"
"53","P08226"
"54","P08905"
"55","P09528"
"56","P10605"
"57","P11438"
"58","P11589"
"59","P11862"
"60","P16331"
"61","P20152"
"62","P20918"
"63","P28665"
"64","P28843"
"65","P29788"
"66","P30115"
"67","P31001"
"68","P31725"
"69","P37804"
"70","P48036"
"71","P48678"
"72","P51863"
"73","P52760"
"74","P54116"
"75","P55264"
"76","P61458"
"77","Q3TLP8"
"78","Q9D0M5"
"79","P67984"
"80","P97315"
"81","Q00897"
"82","Q06890"
"83","Q07456"
"84","Q3UF75"
"85","Q5FW60"
"86","Q921L6"
"87","Q60648"
"88","Q61554"
"89","Q62188"
"90","Q6P5H2"
"91","Q6ZWQ7"
"92","Q8BMD8"
"93","Q8BU25"
"94","Q8K0B2"
"95","Q91VI7"
"96","Q91WV7"
"97","Q91X17"
"98","Q91X72"
"99","Q91XD6"
"100","Q921I1"
"101","Q925B0"
"102","Q99LB4"
"103","Q9CPN9"
"104","Q9CPX4"
"105","Q9CPZ8"
"106","Q9CQI6"
"107","Q9CWF2"
"108","Q9CXW4"
"109","Q9CZY3"
"110","Q9D8L5"
"111","Q9D939"
"112","Q9EQI8"
"113","Q9ESJ4"
"114","Q9JHF5"
"115","Q9JI48"
"116","Q9JMH6"
"117","Q9QXD6"
"118","Q9QXN5"
"119","Q9WV54"
