"Cluster"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"7"	1	"GO"	"5615"	"extracellular space "	"26/119"	"120/2150"	21.8487394957983	5.58139534883721	9.06005963675332e-09	9.77580434805684e-06	3.91456582633053	"CATB_MOUSE;HEMO_MOUSE;MUG1_MOUSE;PLMN_MOUSE;ALBU_MOUSE;ANXA5_MOUSE;NGP_MOUSE;MUP2_MOUSE;LYZ2_MOUSE;AMBP_MOUSE;APOE_MOUSE;FBN1_MOUSE;DPYL3_MOUSE;A1AT4_MOUSE;ASAH1_MOUSE;CFAD_MOUSE;CLUS_MOUSE;S10A9_MOUSE;TRFE_MOUSE;UROM_MOUSE;VTNC_MOUSE;A0A0R4J0I1_MOUSE;F8WIP8_MOUSE;G3X9T8_MOUSE;Q9CPN9_MOUSE;D3YYD0_MOUSE"
"236"	1	"GO"	"36094"	"small molecule binding "	"5/119"	"6/2150"	4.20168067226891	0.27906976744186	0.00013055744973535	0.140871488264443	15.0560224089636	"MUP20_MOUSE;MUP2_MOUSE;A0A0A6YW77_MOUSE;A2BIN1_MOUSE;Q58EV3_MOUSE"
"9"	1	"GO"	"5764"	"lysosome "	"10/119"	"44/2150"	8.40336134453782	2.04651162790698	0.000361161183437976	0.389692916929576	4.10618792971734	"CATB_MOUSE;LMBD1_MOUSE;SAP3_MOUSE;ST1C2_MOUSE;LAMP1_MOUSE;APOE_MOUSE;CAN2_MOUSE;ASAH1_MOUSE;VPS36_MOUSE;Q9JHF5_MOUSE"
"418"	1	"GO"	"8199"	"ferric iron binding "	"4/119"	"4/2150"	3.36134453781513	0.186046511627907	0.000426943246259975	0.460671762714513	18.0672268907563	"MIOX_MOUSE;FRIH_MOUSE;TRFE_MOUSE;Q9CPX4_MOUSE"
"51"	1	"GO"	"5509"	"calcium ion binding "	"14/119"	"86/2150"	11.7647058823529	4	0.000524199465269683	0.565611223025988	2.94117647058824	"SCMC1_MOUSE;S10AA_MOUSE;ANXA5_MOUSE;PAMR1_MOUSE;ANXA3_MOUSE;FBN1_MOUSE;CAN2_MOUSE;S10A9_MOUSE;UROM_MOUSE;A0A1B0GR19_MOUSE;A0A494BBD8_MOUSE;A0A1L1SV25_MOUSE;D3YV37_MOUSE;A1BN54_MOUSE"
"687"	1	"GO"	"6826"	"iron ion transport "	"4/119"	"5/2150"	3.36134453781513	0.232558139534884	0.000737474875276133	0.795735390422947	14.453781512605	"FRIH_MOUSE;TRFE_MOUSE;G3X9T8_MOUSE;Q9CPX4_MOUSE"
"6"	1	"GO"	"5576"	"extracellular region "	"11/119"	"59/2150"	9.2436974789916	2.74418604651163	0.000801851426325391	0.865197689005097	3.36846603047999	"CATB_MOUSE;PLMN_MOUSE;MUP20_MOUSE;ALBU_MOUSE;PAMR1_MOUSE;APOE_MOUSE;FBN1_MOUSE;A1AT4_MOUSE;FRIH_MOUSE;DPP4_MOUSE;TRFE_MOUSE"
"39"	1	"GO"	"6879"	"cellular iron ion homeostasis "	"5/119"	"11/2150"	4.20168067226891	0.511627906976744	0.000997935466500278	1	8.21237585943468	"HEMO_MOUSE;TRFE_MOUSE;VA0D1_MOUSE;G3X9T8_MOUSE;Q9CPX4_MOUSE"
"3"	1	"GO"	"62023"	"collagen-containing extracellular matrix "	"8/119"	"35/2150"	6.72268907563025	1.62790697674419	0.00139113176760412	1	4.1296518607443	"CATB_MOUSE;S10AA_MOUSE;PLMN_MOUSE;ANXA5_MOUSE;AMBP_MOUSE;ANXA3_MOUSE;FBN1_MOUSE;VTNC_MOUSE"
"179"	1	"GO"	"31232"	"extrinsic component of external side of plasma membrane "	"3/119"	"3/2150"	2.52100840336134	0.13953488372093	0.0025019408405076	1	18.0672268907563	"PLMN_MOUSE;APOE_MOUSE;TRFE_MOUSE"
"501"	1	"GO"	"10467"	"gene expression "	"3/119"	"3/2150"	2.52100840336134	0.13953488372093	0.0025019408405076	1	18.0672268907563	"APOE_MOUSE;UROM_MOUSE;Q9JHF5_MOUSE"
"30"	1	"GO"	"6508"	"proteolysis "	"6/119"	"25/2150"	5.04201680672269	1.16279069767442	0.00457444711942126	1	4.33613445378151	"CATB_MOUSE;PLMN_MOUSE;SPCS3_MOUSE;CAN2_MOUSE;DPP4_MOUSE;Q9CPN9_MOUSE"
"188"	1	"GO"	"4252"	"serine-type endopeptidase activity "	"4/119"	"12/2150"	3.36134453781513	0.558139534883721	0.00799759159999115	1	6.02240896358543	"PLMN_MOUSE;CFAD_MOUSE;DPP4_MOUSE;Q9CPN9_MOUSE"
"561"	1	"GO"	"1901216"	"positive regulation of neuron death "	"3/119"	"6/2150"	2.52100840336134	0.27906976744186	0.00935472758047444	1	9.03361344537815	"APOE_MOUSE;CAN2_MOUSE;CLUS_MOUSE"
"633"	1	"GO"	"51764"	"actin crosslink formation "	"3/119"	"6/2150"	2.52100840336134	0.27906976744186	0.00935472758047444	1	9.03361344537815	"DPYL3_MOUSE;B7FAU9_MOUSE;A1BN54_MOUSE"
"308"	1	"GO"	"5604"	"basement membrane "	"4/119"	"13/2150"	3.36134453781513	0.604651162790698	0.0100414472370858	1	5.55914673561732	"ALBU_MOUSE;FBN1_MOUSE;TRFE_MOUSE;VTNC_MOUSE"
"435"	1	"GO"	"5770"	"late endosome "	"5/119"	"22/2150"	4.20168067226891	1.02325581395349	0.0115997276869506	1	4.10618792971734	"LAMP1_MOUSE;APOE_MOUSE;TRFE_MOUSE;VPS36_MOUSE;Q9JHF5_MOUSE"
"14"	1	"GO"	"42383"	"sarcolemma "	"4/119"	"14/2150"	3.36134453781513	0.651162790697674	0.0123965920277092	1	5.16206482593037	"CATB_MOUSE;ANXA5_MOUSE;LAMP1_MOUSE;DESM_MOUSE"
"99"	1	"GO"	"1900026"	"positive regulation of substrate adhesion-dependent cell spreading "	"4/119"	"14/2150"	3.36134453781513	0.651162790697674	0.0123965920277092	1	5.16206482593037	"S10AA_MOUSE;Q3TLP8_MOUSE;B7FAU9_MOUSE;D3YYD0_MOUSE"
"238"	1	"GO"	"2000179"	"positive regulation of neural precursor cell proliferation "	"3/119"	"7/2150"	2.52100840336134	0.325581395348837	0.0128583619494611	1	7.74309723889556	"MUP20_MOUSE;NEST_MOUSE;B7FAU9_MOUSE"
"476"	1	"GO"	"8201"	"heparin binding "	"4/119"	"15/2150"	3.36134453781513	0.697674418604651	0.0150784451809395	1	4.81792717086835	"APOE_MOUSE;FBN1_MOUSE;RL22_MOUSE;VTNC_MOUSE"
"47"	1	"GO"	"51246"	"regulation of protein metabolic process "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"HEMO_MOUSE;APOE_MOUSE"
"133"	1	"GO"	"4505"	"phenylalanine 4-monooxygenase activity "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"PHS_MOUSE;PH4H_MOUSE"
"135"	1	"GO"	"6558"	"L-phenylalanine metabolic process "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"PHS_MOUSE;PH4H_MOUSE"
"235"	1	"GO"	"5550"	"pheromone binding "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"MUP20_MOUSE;MUP2_MOUSE"
"381"	1	"GO"	"51055"	"negative regulation of lipid biosynthetic process "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"MUP2_MOUSE;APOE_MOUSE"
"513"	1	"GO"	"35641"	"locomotory exploration behavior "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"APOE_MOUSE;DPP4_MOUSE"
"518"	1	"GO"	"1905907"	"negative regulation of amyloid fibril formation "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"APOE_MOUSE;CLUS_MOUSE"
"560"	1	"GO"	"1902998"	"positive regulation of neurofibrillary tangle assembly "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"APOE_MOUSE;CLUS_MOUSE"
"565"	1	"GO"	"17038"	"protein import "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"APOE_MOUSE;CLUS_MOUSE"
"569"	1	"GO"	"1900221"	"regulation of amyloid-beta clearance "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"APOE_MOUSE;CLUS_MOUSE"
"684"	1	"GO"	"4322"	"ferroxidase activity "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"FRIH_MOUSE;G3X9T8_MOUSE"
"725"	1	"GO"	"45098"	"type III intermediate filament "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"DESM_MOUSE;VIME_MOUSE"
"726"	1	"GO"	"45109"	"intermediate filament organization "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"DESM_MOUSE;VIME_MOUSE"
"752"	1	"GO"	"97440"	"apical dendrite "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"CLUS_MOUSE;B7FAU9_MOUSE"
"893"	1	"GO"	"33179"	"proton-transporting V-type ATPase, V0 domain "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"VA0D1_MOUSE;E9Q9C5_MOUSE"
"924"	1	"GO"	"43328"	"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway "	"2/119"	"2/2150"	1.68067226890756	0.0930232558139535	0.0152540732951399	1	18.0672268907563	"VPS36_MOUSE;A0A2R8VKS6_MOUSE"
"15"	1	"GO"	"5518"	"collagen binding "	"3/119"	"8/2150"	2.52100840336134	0.372093023255814	0.0170131142100293	1	6.77521008403361	"CATB_MOUSE;DPP4_MOUSE;VTNC_MOUSE"
"781"	1	"GO"	"48260"	"positive regulation of receptor-mediated endocytosis "	"3/119"	"8/2150"	2.52100840336134	0.372093023255814	0.0170131142100293	1	6.77521008403361	"CLUS_MOUSE;TRFE_MOUSE;VTNC_MOUSE"
"356"	1	"GO"	"30018"	"Z disc "	"4/119"	"16/2150"	3.36134453781513	0.744186046511628	0.0181004445248616	1	4.51680672268908	"ANXA5_MOUSE;DESM_MOUSE;CSRP1_MOUSE;D3YV37_MOUSE"
"465"	1	"GO"	"31012"	"extracellular matrix "	"3/119"	"9/2150"	2.52100840336134	0.418604651162791	0.0218303870956903	1	6.02240896358543	"APOE_MOUSE;FBN1_MOUSE;VTNC_MOUSE"
"362"	1	"GO"	"30195"	"negative regulation of blood coagulation "	"2/119"	"3/2150"	1.68067226890756	0.13953488372093	0.0245563534915143	1	12.0448179271709	"ANXA5_MOUSE;APOE_MOUSE"
"427"	1	"GO"	"90160"	"Golgi to lysosome transport "	"2/119"	"3/2150"	1.68067226890756	0.13953488372093	0.0245563534915143	1	12.0448179271709	"CCD91_MOUSE;LAMP1_MOUSE"
