"Enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"134"	"up_ASG1_vs_ASG0"	"GO"	"51017"	"actin filament bundle assembly "	"4/38"	"15/2150"	10.5263157894737	0.697674418604651	0.00024856073465839	0.0949502006395048	15.0877192982456	"PAWR_MOUSE;DPYL3_MOUSE;A1BN54_MOUSE;Q8VCQ8_MOUSE"
"280"	"up_ASG1_vs_ASG0"	"GO"	"8092"	"cytoskeletal protein binding "	"3/38"	"11/2150"	7.89473684210526	0.511627906976744	0.00154051615489228	0.588477171168851	15.4306220095694	"DESM_MOUSE;ALDOB_MOUSE;E9Q805_MOUSE"
"13"	"up_ASG1_vs_ASG0"	"GO"	"42130"	"negative regulation of T cell proliferation "	"2/38"	"4/2150"	5.26315789473684	0.186046511627907	0.0042135172851395	1	28.2894736842105	"UTER_MOUSE;PAWR_MOUSE"
"59"	"up_ASG1_vs_ASG0"	"GO"	"7517"	"muscle organ development "	"2/38"	"4/2150"	5.26315789473684	0.186046511627907	0.0042135172851395	1	28.2894736842105	"LMNA_MOUSE;DESM_MOUSE"
"169"	"up_ASG1_vs_ASG0"	"GO"	"30388"	"fructose 1,6-bisphosphate metabolic process "	"2/38"	"4/2150"	5.26315789473684	0.186046511627907	0.0042135172851395	1	28.2894736842105	"F16P1_MOUSE;ALDOB_MOUSE"
"171"	"up_ASG1_vs_ASG0"	"GO"	"6000"	"fructose metabolic process "	"2/38"	"4/2150"	5.26315789473684	0.186046511627907	0.0042135172851395	1	28.2894736842105	"F16P1_MOUSE;ALDOB_MOUSE"
"54"	"up_ASG1_vs_ASG0"	"GO"	"8157"	"protein phosphatase 1 binding "	"2/38"	"5/2150"	5.26315789473684	0.232558139534884	0.00583446253994071	1	22.6315789473684	"LMNA_MOUSE;PAWR_MOUSE"
"32"	"up_ASG1_vs_ASG0"	"GO"	"42802"	"identical protein binding "	"10/38"	"237/2150"	26.3157894736842	11.0232558139535	0.00747468295593596	1	2.38729735731734	"RIDA_MOUSE;LMNA_MOUSE;F16P1_MOUSE;GLNA_MOUSE;DPYL3_MOUSE;DHSO_MOUSE;DESM_MOUSE;DPP4_MOUSE;ALDOB_MOUSE;E9Q8N8_MOUSE"
"234"	"up_ASG1_vs_ASG0"	"GO"	"51764"	"actin crosslink formation "	"2/38"	"6/2150"	5.26315789473684	0.27906976744186	0.00769436474110356	1	18.859649122807	"DPYL3_MOUSE;A1BN54_MOUSE"
"187"	"up_ASG1_vs_ASG0"	"GO"	"7399"	"nervous system development "	"2/38"	"10/2150"	5.26315789473684	0.465116279069767	0.0173597408861998	1	11.3157894736842	"NEST_MOUSE;DPYL3_MOUSE"
"130"	"up_ASG1_vs_ASG0"	"GO"	"3779"	"actin binding "	"4/38"	"62/2150"	10.5263157894737	2.88372093023256	0.0257636082003053	1	3.65025466893039	"PAWR_MOUSE;A0A1L1SV25_MOUSE;Q3UF75_MOUSE;Q8VCQ8_MOUSE"
"104"	"up_ASG1_vs_ASG0"	"GO"	"42277"	"peptide binding "	"2/38"	"15/2150"	5.26315789473684	0.697674418604651	0.0338756325053922	1	7.54385964912281	"RLA0_MOUSE;DPP4_MOUSE"
"8"	"up_ASG1_vs_ASG0"	"GO"	"97160"	"polychlorinated biphenyl binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"UTER_MOUSE"
"10"	"up_ASG1_vs_ASG0"	"GO"	"32696"	"negative regulation of interleukin-13 production "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"UTER_MOUSE"
"11"	"up_ASG1_vs_ASG0"	"GO"	"32713"	"negative regulation of interleukin-4 production "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"UTER_MOUSE"
"12"	"up_ASG1_vs_ASG0"	"GO"	"32714"	"negative regulation of interleukin-5 production "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"UTER_MOUSE"
"30"	"up_ASG1_vs_ASG0"	"GO"	"19239"	"deaminase activity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RIDA_MOUSE"
"31"	"up_ASG1_vs_ASG0"	"GO"	"16892"	"endoribonuclease activity, producing 3'-phosphomonoesters "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RIDA_MOUSE"
"33"	"up_ASG1_vs_ASG0"	"GO"	"43167"	"ion binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RIDA_MOUSE"
"34"	"up_ASG1_vs_ASG0"	"GO"	"36041"	"long-chain fatty acid binding "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RIDA_MOUSE"
"38"	"up_ASG1_vs_ASG0"	"GO"	"70314"	"G1 to G0 transition "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RIDA_MOUSE"
"45"	"up_ASG1_vs_ASG0"	"GO"	"1901565"	"organonitrogen compound catabolic process "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RIDA_MOUSE"
"47"	"up_ASG1_vs_ASG0"	"GO"	"1902074"	"response to salt "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"RIDA_MOUSE"
"58"	"up_ASG1_vs_ASG0"	"GO"	"30951"	"establishment or maintenance of microtubule cytoskeleton polarity "	"1/38"	"1/2150"	2.63157894736842	0.0465116279069767	0.034425492929163	1	56.578947368421	"LMNA_MOUSE"
