"Enrichment_for"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"ASG1_vs_ASG0_unique"	"GO"	"6909"	"phagocytosis "	"5/132"	"14/2150"	3.78787878787879	0.651162790697674	0.00360833930100225	1	5.81709956709957	"RAB5A_MOUSE;NCF2_MOUSE;COR1C_MOUSE;TM9S4_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"3756"	"protein disulfide isomerase activity "	"4/132"	"9/2150"	3.03030303030303	0.418604651162791	0.00507372328995313	1	7.23905723905724	"PDIA3_MOUSE;PDIA1_MOUSE;Q3TML0_MOUSE;E9PXX7_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"42130"	"negative regulation of T cell proliferation "	"3/132"	"4/2150"	2.27272727272727	0.186046511627907	0.00557042089926947	1	12.2159090909091	"UTER_MOUSE;PAWR_MOUSE;HB2A_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"16272"	"prefoldin complex "	"3/132"	"4/2150"	2.27272727272727	0.186046511627907	0.00557042089926947	1	12.2159090909091	"PFD2_MOUSE;PFD6_MOUSE;A0A494BBK3_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"1901741"	"positive regulation of myoblast fusion "	"3/132"	"4/2150"	2.27272727272727	0.186046511627907	0.00557042089926947	1	12.2159090909091	"NFAC2_MOUSE;MK14_MOUSE;EHD1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"43525"	"positive regulation of neuron apoptotic process "	"4/132"	"10/2150"	3.03030303030303	0.465116279069767	0.00678891129141478	1	6.51515151515152	"CDC42_MOUSE;ITA1_MOUSE;PAWR_MOUSE;NCF2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5834"	"heterotrimeric G-protein complex "	"4/132"	"10/2150"	3.03030303030303	0.465116279069767	0.00678891129141478	1	6.51515151515152	"GBG5_MOUSE;GNAQ_MOUSE;GNAI2_MOUSE;GBG2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"42824"	"MHC class I peptide loading complex "	"3/132"	"5/2150"	2.27272727272727	0.232558139534884	0.00853849311881682	1	9.77272727272727	"PDIA3_MOUSE;HA11_MOUSE;Q3TCU5_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"15037"	"peptide disulfide oxidoreductase activity "	"3/132"	"5/2150"	2.27272727272727	0.232558139534884	0.00853849311881682	1	9.77272727272727	"PDIA3_MOUSE;PDIA1_MOUSE;Q3TML0_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"15629"	"actin cytoskeleton "	"7/132"	"35/2150"	5.3030303030303	1.62790697674419	0.0090642033314897	1	3.25757575757576	"WDR1_MOUSE;PLSL_MOUSE;RAB5A_MOUSE;PAWR_MOUSE;FYB1_MOUSE;CSRP1_MOUSE;COR1C_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"16197"	"endosomal transport "	"4/132"	"12/2150"	3.03030303030303	0.558139534883721	0.0112781925169487	1	5.42929292929293	"CDC42_MOUSE;EHD1_MOUSE;COR1C_MOUSE;VPS36_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5886"	"plasma membrane "	"28/132"	"277/2150"	21.2121212121212	12.8837209302326	0.0114931624327816	1	1.64642818072421	"AT2B1_MOUSE;CDC42_MOUSE;WDR1_MOUSE;PLSL_MOUSE;SHIP1_MOUSE;STOM_MOUSE;RAB8B_MOUSE;PTN1_MOUSE;ITA1_MOUSE;PDC10_MOUSE;PDIA3_MOUSE;RAB5A_MOUSE;PAWR_MOUSE;KPCB_MOUSE;HB2A_MOUSE;GNAQ_MOUSE;FYB1_MOUSE;GNAI2_MOUSE;HA11_MOUSE;ENPL_MOUSE;EPS8_MOUSE;GBG2_MOUSE;COTL1_MOUSE;EHD1_MOUSE;CLIC4_MOUSE;CC124_MOUSE;DPP4_MOUSE;F6UND7_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"6915"	"apoptotic process "	"9/132"	"57/2150"	6.81818181818182	2.65116279069767	0.0121670415045091	1	2.57177033492823	"SHIP1_MOUSE;PAK2_MOUSE;PAWR_MOUSE;KPCB_MOUSE;MTNB_MOUSE;MK14_MOUSE;API5_MOUSE;H7BX01_MOUSE;A0A1D5RLY6_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"7229"	"integrin-mediated signaling pathway "	"5/132"	"21/2150"	3.78787878787879	0.976744186046512	0.0147292014967447	1	3.87806637806638	"CDC42_MOUSE;ITA1_MOUSE;FYB1_MOUSE;Q542I8_MOUSE;A0A5F8MPB5_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"6457"	"protein folding "	"6/132"	"31/2150"	4.54545454545455	1.44186046511628	0.017586083581501	1	3.1524926686217	"PFD2_MOUSE;PDIA3_MOUSE;PDIA1_MOUSE;PFD6_MOUSE;ENPL_MOUSE;A0A494BBK3_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"71305"	"cellular response to vitamin D "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"AT2B1_MOUSE;PDIA3_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"51481"	"negative regulation of cytosolic calcium ion concentration "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"AT2B1_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"31996"	"thioesterase binding "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"CDC42_MOUSE;Q3TLP8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"33157"	"regulation of intracellular protein transport "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"PLSL_MOUSE;PTN1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"45671"	"negative regulation of osteoclast differentiation "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"SHIP1_MOUSE;FBN1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"45123"	"cellular extravasation "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"ITA1_MOUSE;Q542I8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"209"	"protein polyubiquitination "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"PEBB_MOUSE;PRP19_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"42605"	"peptide antigen binding "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"HB2A_MOUSE;HA11_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"62061"	"TAP complex binding "	"2/132"	"2/2150"	1.51515151515152	0.0930232558139535	0.0184335380675583	1	16.2878787878788	"HA11_MOUSE;Q3TCU5_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"3924"	"GTPase activity "	"9/132"	"62/2150"	6.81818181818182	2.88372093023256	0.0191581044305066	1	2.36436950146628	"CDC42_MOUSE;RAB8B_MOUSE;RAB5A_MOUSE;GBG5_MOUSE;GNAQ_MOUSE;GNAI2_MOUSE;GBG2_MOUSE;Q3TLP8_MOUSE;H7BX01_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"7155"	"cell adhesion "	"5/132"	"23/2150"	3.78787878787879	1.06976744186047	0.0200592201206143	1	3.54084321475626	"ITA1_MOUSE;DPP4_MOUSE;TM9S4_MOUSE;A0A5F8MPB5_MOUSE;Q3U8S1_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"51017"	"actin filament bundle assembly "	"4/132"	"15/2150"	3.03030303030303	0.697674418604651	0.0209913795332516	1	4.34343434343434	"PLSL_MOUSE;PAWR_MOUSE;EPS8_MOUSE;Q8VCQ8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"48365"	"Rac GTPase binding "	"4/132"	"15/2150"	3.03030303030303	0.697674418604651	0.0209913795332516	1	4.34343434343434	"PAK2_MOUSE;NCF2_MOUSE;EPS8_MOUSE;COR1C_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"7186"	"G protein-coupled receptor signaling pathway "	"4/132"	"15/2150"	3.03030303030303	0.697674418604651	0.0209913795332516	1	4.34343434343434	"GBG5_MOUSE;GNAQ_MOUSE;GNAI2_MOUSE;GBG2_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"16477"	"cell migration "	"5/132"	"24/2150"	3.78787878787879	1.11627906976744	0.0231433867669509	1	3.39330808080808	"CDC42_MOUSE;PLSL_MOUSE;NFAC2_MOUSE;ARPC5_MOUSE;COR1C_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5884"	"actin filament "	"5/132"	"24/2150"	3.78787878787879	1.11627906976744	0.0231433867669509	1	3.39330808080808	"PLSL_MOUSE;SHIP1_MOUSE;Q3TLP8_MOUSE;D3Z2H9_MOUSE;Q8VCQ8_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"5623"	"cell "	"17/132"	"152/2150"	12.8787878787879	7.06976744186047	0.0238182153250704	1	1.8216706539075	"AT2B1_MOUSE;CDC42_MOUSE;PDC10_MOUSE;PDIA3_MOUSE;PAWR_MOUSE;PDIA1_MOUSE;KPCB_MOUSE;MK14_MOUSE;CLIC4_MOUSE;SH3L3_MOUSE;TM9S4_MOUSE;TYB10_MOUSE;Q3TML0_MOUSE;E9PXX7_MOUSE;H7BX01_MOUSE;E9Q8S8_MOUSE;A0A0R4J0I9_MOUSE"
"ASG1_vs_ASG0_unique"	"GO"	"32587"	"ruffle membrane "	"4/132"	"16/2150"	3.03030303030303	0.744186046511628	0.025091442909586	1	4.0719696969697	"PLSL_MOUSE;EPS8_MOUSE;COR1C_MOUSE;Q3TLP8_MOUSE"
