"","proteinIDs","iBAQ.as_g0_a","iBAQ.as_g0_b","iBAQ.as_g0_c","iBAQ.as_g1_a","iBAQ.as_g1_b","iBAQ.as_g1_c","iBAQ.wt_g0_a","iBAQ.wt_g0_b","iBAQ.wt_g0_c"
"1","A0A067XG53;O70589",0,0,0,24903,0,0,0,94493,0
"2","A0A075B5P6;A0A075B6A0;P01872",504360,1491800,1365900,40226,87493,91895,0,0,70452
"3","A0A075B6A3;A0A0A6YXW6;P01878",347100,1738700,0,0,171700,0,0,0,0
"4","A0A087WNP6;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49",4281400,437720,1823100,664950,0,38842,146490,3785800,4486900
"5","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4",1536100,315300,797470,230340,0,0,0,1736200,1038900
"6","A0A087WNU1;A0A087WPM0;Q3UQA7",0,0,0,0,132790,0,0,485030,0
"7","A0A087WNZ7;G5E870;A0A087WRV6",10282,0,0,0,0,0,0,16520,15186
"8","A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7",461950,192970,145970,445500,37673,183730,173710,1587500,4924400
"9","A0A087WRL3;A0A087WP81;Q9WUP7",63255,0,0,0,0,0,0,0,0
"10","A0A087WP83;Q8VDJ3;A0A087WPH2;A0A087WQY9;A0A087WPC5;A0A087WS92",486580,43503,174010,51144,0,12586,18441,268390,242540
"11","A0A0J9YU08;A0A087WPE8;Q6P3Z3",0,0,0,0,0,0,0,814140,747950
"12","A0A087WPL1;F7C957;Q8R1G6",0,0,0,375380,121470,119970,0,490480,189080
"13","A0A087WS03;A0A087WQ32;G3X9F1;Q9R1S3",603370,545280,390780,329330,89713,88534,10336,180540,434720
"14","F6WBA1;A0A087WR51;A0A087WQ89",0,0,0,0,0,0,0,0,166990
"15","A0A087WRU0;A0A087WQ94;A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6;A0A087WSC8",43952,0,0,11077,3290,0,11708,135940,122320
"16","A0A087WQT6;O89110",476390,90280,195950,0,0,0,0,354760,0
"17","Q4KL80;B7ZNJ1;A0A087WS56;B9EHT6;A0A087WSN6;Q3UHL6;A0A087WR50;P11276;A0A087WQW8",0,185520,254640,261110,24309,33771,0,0,0
"18","A0A087WR97;Q921F2;A0A087WSE4;A0A087WRZ5;Q8R0B4;Q8BLD4;Q6VYI5;Q6VYI4",9943200,683370,3652800,734640,151160,195740,218550,5459000,7134100
"19","Q05DJ9;A0A087WRC0;Q64514",87532,25373,98687,74760,0,0,0,78453,124910
"20","A0A087WRE7;Q8R0N6",0,0,115900,44706,0,0,106400,1413900,1657800
"21","Q62347;A0A087WRI6;Q01147",2258500,0,342770,230150,0,0,0,1102800,981770
"22","A0A087WRY3;Q80XU3",1825100,1850400,4092500,1158300,378350,65660,962070,13492000,12781000
"23","A0A087WRZ7;A0A0G2JDM3;E9PWG4;A0A0G2JDW2;P05977;P09542",13791000,5324400,15211000,3923200,840780,909700,436080,18316000,19753000
"24","J3QQ16;A0A087WS16;E9PWQ3",0,0,23584,0,0,0,0,0,0
"25","A0A087WS46;O70251",1281300,169800,653750,150680,0,41900,20257,351990,553380
"26","A0A087WSK7;Q9CQZ0;Q921I0",305050,61279,178280,88932,0,0,0,130480,216740
"27","A0A087WSM4;Q91XC8",8646000,455800,2296300,634660,117330,60024,0,3028200,4970100
"28","Q99K94;Q8C3V4;A0A087WSP5;P42225;A0A087WRI1;A0A087WSQ5;Q8CFQ1",141250,15646,36910,0,0,0,0,243600,70475
"29","A0A0A0MQ68;Q60759",243310,288100,397890,304220,59330,101630,630020,3361800,7309000
"30","S4R294;S4R2J9;A0A0A0MQ79;Q3TLH4;S4R2L9;S4R209",128130,0,0,26379,1648.5,0,4621.7,117320,99897
"31","A0A0A0MQ90;P97352",7542700,1159700,6388000,669580,104110,120820,79937,1829300,6124100
"32","A0A0A0MQA5;P68368;A0A087WQS4;A0A087WRB4;A0A087WSB0;A0A087WSL5;Q3UX10",52627,406070,0,615060,52682,0,26875,295180,253180
"33","A0A0A0MQC7;A2A5Y6;P10637",0,0,0,52108,20989,0,56250,497860,813100
