"","x"
"1","A0A0A0MQ90"
"2","A0A0B4J1G0"
"3","A0A0G2JEC4"
"4","A0A0G2JEK2"
"5","A0A0G2JGD2"
"6","Q8BQ10"
"7","A0A0R4J0I9"
"8","A0A0R4J0R1"
"9","A0A0R4J1N9"
"10","A0A0R4J275"
"11","A0A0R4J2B2"
"12","A0A1B0GR19"
"13","A0A1B0GT81"
"14","A0A1D5RLY6"
"15","A0A1D5RMI0"
"16","A0A1L1SQA8"
"17","A0A1L1STZ1"
"18","H3BJ35"
"19","A0A1W2P768"
"20","A0A2R8VHF9"
"21","A0A2R8VI25"
"22","A0A2R8VHT7"
"23","A0A338P6X2"
"24","A0A3Q4EBK4"
"25","D3YU09"
"26","A0A494BAV2"
"27","A0A494BBK3"
"28","A0A5F8MPB5"
"29","A2ADY9"
"30","A2APF7"
"31","Q3U8S1"
"32","A2ARQ2"
"33","A2AVJ7"
"34","A2BGN7"
"35","Q8JZN1"
"36","B1AQR8"
"37","H3BKJ0"
"38","D3YXG6"
"39","D3YYM6"
"40","E9Q4Q2"
"41","D3Z2H9"
"42","E9PUD0"
"43","G3X922"
"44","E9PWE9"
"45","E9PXX7"
"46","E9Q7Q3"
"47","E9Q8S8"
"48","E9QPX3"
"49","F6UND7"
"50","Q7M739"
"51","F7CUQ1"
"52","F8WI95"
"53","G3UWH0"
"54","G5E829"
"55","H7BX01"
"56","H9KV01"
"57","J3QP70"
"58","O09111"
"59","Q8C391"
"60","O35601"
"61","O35841"
"62","O54824"
"63","O70145"
"64","Q6ZWQ5"
"65","O70591"
"66","O88342"
"67","O89053"
"68","P01899"
"69","S4R1M0"
"70","P08113"
"71","P08249"
"72","P08752"
"73","P09103"
"74","P10854"
"75","Q542I8"
"76","P12787"
"77","P14483"
"78","P14733"
"79","P21279"
"80","P22437"
"81","P26443"
"82","P27773"
"83","Q1MX41"
"84","P31428"
"85","P35821"
"86","P38060"
"87","P38647"
"88","P42125"
"89","P43275"
"90","P47738"
"91","P47811"
"92","P52503"
"93","P53395"
"94","P54116"
"95","Q8BTN3"
"96","P56382"
"97","P56391"
"98","P60766"
"99","P61028"
"100","P62073"
"101","P62737"
"102","Q3TLP8"
"103","P63213"
"104","P68404"
"105","P70315"
"106","P97372"
"107","P97807"
"108","P99028"
"109","Q02819"
"110","Q03958"
"111","Q08024"
"112","Q08509"
"113","Q3TCU5"
"114","Q3TDD9"
"115","Q3TGF2"
"116","Q3TML0"
"117","Q3U7R1"
"118","Q3U9G9"
"119","Q3V3R4"
"120","Q60591"
"121","Q61233"
"122","Q61554"
"123","Q61598"
"124","Q7TQE2"
"125","Q6NSR8"
"126","Q6PB66"
"127","Q6PB93"
"128","Q6ZWQ7"
"129","Q6ZWY8"
"130","Q80SZ7"
"131","Q810S7"
"132","Q810U5"
"133","Q8BGQ7"
"134","Q8BH24"
"135","Q8BKZ9"
"136","Q8BYZ1"
"137","Q8C522"
"138","Q8C845"
"139","Q8CIN4"
"140","Q8K003"
"141","Q8K0T0"
"142","Q8K124"
"143","Q8K1I7"
"144","Q8R4N0"
"145","Q8VDM4"
"146","Q8VE70"
"147","Q91VD9"
"148","Q91VW3"
"149","Q91XD6"
"150","Q921K2"
"151","Q921Z5"
"152","Q99KP6"
"153","Q99LB4"
"154","Q99M87"
"155","Q9CPW4"
"156","Q9CQ54"
"157","Q9CQ75"
"158","Q9CQD1"
"159","Q9CQI6"
"160","Q9CQN3"
"161","Q9CRB9"
"162","Q9D0F3"
"163","Q9D1Q6"
"164","Q9D7N9"
"165","Q9D8X2"
"166","Q9D8Y1"
"167","Q9D937"
"168","Q9DC70"
"169","Q9ES52"
"170","Q9ESJ4"
"171","Q9QXT0"
"172","Q9QYB1"
"173","Q9R112"
"174","Q9R1T4"
"175","Q9WTP6"
"176","Q9WUM4"
"177","Q9WVK4"
"178","Q9WVQ5"
"179","Q9Z1F9"
"180","Q9Z1P6"
