"","x"
"1","A0A075B5P6"
"2","A0A0A6YX70"
"3","A0A0R4J0I1"
"4","A0A1B0GR19"
"5","A0A1B0GT66"
"6","A0A1D5RMI0"
"7","A0A1Y7VM54"
"8","E9Q390"
"9","A0A2R8VHH1"
"10","A0A2R8VKS6"
"11","A0A338P7L8"
"12","A0A494BBD8"
"13","A2A6T9"
"14","A2AKI5"
"15","A2ATT9"
"16","B1AQR8"
"17","B7FAU9"
"18","D3YV37"
"19","D3Z4L7"
"20","D3YZ46"
"21","D3Z637"
"22","D3Z7C6"
"23","G3X9T8"
"24","E9Q5F4"
"25","E9Q6G4"
"26","E9Q9C5"
"27","E9Q9S3"
"28","F7CUQ1"
"29","F8WHL2"
"30","G3UYU4"
"31","G3X8T3"
"32","Q6PE70"
"33","O08529"
"34","Q3TMX0"
"35","Q8C391"
"36","P01592"
"37","P02802"
"38","P03953"
"39","P07724"
"40","P08207"
"41","P10605"
"42","P11438"
"43","P11589"
"44","P17427"
"45","P20918"
"46","P29416"
"47","P29788"
"48","Q8C266"
"49","P50637"
"50","P61089"
"51","P61804"
"52","Q00623"
"53","Q00897"
"54","Q06890"
"55","Q3UVK0"
"56","Q7TMR0"
"57","Q8BMD8"
"58","Q8BMK4"
"59","Q8C1Y8"
"60","Q8C5G6"
"61","Q8C605"
"62","Q91WV7"
"63","Q91X17"
"64","Q91X72"
"65","Q921I1"
"66","Q99LB4"
"67","Q9CPX4"
"68","Q9CXW4"
"69","Q9D8L5"
"70","Q9JI48"
"71","Q9WV54"
"72","Q9Z1T1"
