"Type"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"419"	"GO top10% PC1"	"GO"	"3690"	"double-stranded DNA binding "	"10/215"	"19/2150"	4.65116279069767	0.883720930232558	0.000133175150399489	0.229194433837521	5.26315789473684	"IFI5B_MOUSE;PURB_MOUSE;H12_MOUSE;LMNB1_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE;IFIX_MOUSE;IFI4_MOUSE"
"294"	"GO top10% PC1"	"GO"	"17124"	"SH3 domain binding "	"11/215"	"25/2150"	5.11627906976744	1.16279069767442	0.000210571355910271	0.362393303521577	4.4	"PTN6_MOUSE;KHDR1_MOUSE;VASP_MOUSE;LYN_MOUSE;HCLS1_MOUSE;ELMO1_MOUSE;CY24A_MOUSE;WASF2_MOUSE;WASP_MOUSE;WIPF1_MOUSE;F8WJB9_MOUSE"
"2"	"GO top10% PC1"	"GO"	"30027"	"lamellipodium "	"14/215"	"48/2150"	6.51162790697674	2.23255813953488	0.000956205002004533	1	2.91666666666667	"BRK1_MOUSE;SHOT1_MOUSE;COR1B_MOUSE;VASP_MOUSE;PDIA1_MOUSE;SNX2_MOUSE;PABP1_MOUSE;HCLS1_MOUSE;ACTB_MOUSE;TWF2_MOUSE;DBNL_MOUSE;ACTA_MOUSE;COR1A_MOUSE;WASF2_MOUSE"
"835"	"GO top10% PC1"	"GO"	"30261"	"chromosome condensation "	"5/215"	"6/2150"	2.32558139534884	0.27906976744186	0.00173226568992685	1	8.33333333333333	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE"
"838"	"GO top10% PC1"	"GO"	"31936"	"negative regulation of chromatin silencing "	"5/215"	"6/2150"	2.32558139534884	0.27906976744186	0.00173226568992685	1	8.33333333333333	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE"
"839"	"GO top10% PC1"	"GO"	"45910"	"negative regulation of DNA recombination "	"5/215"	"6/2150"	2.32558139534884	0.27906976744186	0.00173226568992685	1	8.33333333333333	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE"
"841"	"GO top10% PC1"	"GO"	"16584"	"nucleosome positioning "	"5/215"	"6/2150"	2.32558139534884	0.27906976744186	0.00173226568992685	1	8.33333333333333	"H12_MOUSE;H15_MOUSE;H13_MOUSE;H14_MOUSE;H11_MOUSE"
"611"	"GO top10% PC1"	"GO"	"6355"	"regulation of transcription, DNA-templated "	"10/215"	"29/2150"	4.65116279069767	1.34883720930233	0.00187126015312472	1	3.44827586206897	"SFPQ_MOUSE;H12_MOUSE;H15_MOUSE;LAP2B_MOUSE;H13_MOUSE;H14_MOUSE;HMGA1_MOUSE;H11_MOUSE;Q5SUT0_MOUSE;Z4YKB8_MOUSE"
"63"	"GO top10% PC1"	"GO"	"5634"	"nucleus "	"64/215"	"442/2150"	29.7674418604651	20.5581395348837	0.00224036083187011	1	1.44796380090498	"4EBP1_MOUSE;RGS10_MOUSE;ROA2_MOUSE;SF3A1_MOUSE;MATR3_MOUSE;PTN6_MOUSE;PI42A_MOUSE;PP2AA_MOUSE;LBR_MOUSE;PP1R7_MOUSE;IFI5B_MOUSE;PGAM2_MOUSE;DX39B_MOUSE;KHDR1_MOUSE;PURB_MOUSE;SFPQ_MOUSE;PAK2_MOUSE;RL12_MOUSE;SAMH1_MOUSE;HG2A_MOUSE;KPCB_MOUSE;NFAC2_MOUSE;H12_MOUSE;NOP58_MOUSE;PABP1_MOUSE;FUMH_MOUSE;KCC1A_MOUSE;PSA1_MOUSE;LMNB1_MOUSE;H15_MOUSE;ARPC4_MOUSE;G6PD1_MOUSE;LAP2B_MOUSE;LYN_MOUSE;FYB1_MOUSE;H13_MOUSE;H14_MOUSE;LYRIC_MOUSE;GNAI2_MOUSE;HMGA1_MOUSE;H11_MOUSE;H2B1B_MOUSE;IFIX_MOUSE;HCLS1_MOUSE;H2AX_MOUSE;IFI4_MOUSE;ACTB_MOUSE;DJB11_MOUSE;CY24A_MOUSE;1433B_MOUSE;F120A_MOUSE;CAND1_MOUSE;CLIC4_MOUSE;DNJA2_MOUSE;BASP1_MOUSE;SKP1_MOUSE;TOIP1_MOUSE;TCP4_MOUSE;WASP_MOUSE;Q62347_MOUSE;D3YW09_MOUSE;Q99K94_MOUSE;Q3UJB0_MOUSE;Z4YKB8_MOUSE"
"601"	"GO top10% PC1"	"GO"	"6974"	"cellular response to DNA damage stimulus "	"7/215"	"15/2150"	3.25581395348837	0.697674418604651	0.0024141873001867	1	4.66666666666667	"SFPQ_MOUSE;SAMH1_MOUSE;NFAC2_MOUSE;FUMH_MOUSE;LYN_MOUSE;H2AX_MOUSE;Q9DCC5_MOUSE"
