"","x"
"1","O09159"
"2","Q3TLP8"
"3","P54116"
"4","E9Q616"
"5","G3X8T3"
"6","Q99JI4"
"7","A0A0U1RP68"
"8","P08226"
"9","P10605"
"10","P09528"
"11","P62830"
"12","A0A494BBD8"
"13","Q6ZWQ7"
"14","Q8BQ10"
"15","Q91VI7"
"16","P14069"
"17","P48036"
"18","D6REF3"
"19","H3BKR2"
"20","P26516"
"21","P16045"
"22","Q8K0L3"
"23","Q9EQ20"
"24","P20152"
"25","Q9D8T7"
"26","A0A1W2P768"
"27","A0A0A0MQM0"
"28","O35639"
"29","F6UFB9"
"30","Q8VCH0"
"31","Q9JHF5"
"32","P20060"
"33","A0A0G2JDZ4"
"34","P31725"
"35","A2A6T9"
"36","Q9DCS3"
"37","P11438"
"38","P17918"
"39","F6VQH5"
"40","Q8R5L1"
"41","Q8C253"
"42","G5E850"
"43","Q3TLP5"
"44","Q07456"
"45","F6YVP7"
"46","Q9WUR9"
"47","Q8VDD5"
"48","A0A0A0MQ68"
"49","P62242"
"50","Q6ZWV3"
"51","P85094"
"52","A0A0R4J1C2"
"53","A0A0R4J203"
"54","P99026"
"55","Q9CPX4"
"56","A0A0N4SVB8"
"57","Q8CBD0"
"58","A0A0R4J0I1"
"59","P62082"
"60","Q9NYQ2"
"61","E9PZ00"
"62","P62908"
"63","P62264"
"64","E9Q390"
"65","E9QAI5"
"66","B1ARU1"
"67","Q62318"
"68","Q7TNG8"
"69","E9Q449"
"70","G5E8R3"
"71","D3YVC1"
"72","P06797"
"73","P07724"
"74","P52196"
"75","Q9CXW4"
"76","D3Z1T4"
"77","O09174"
"78","Q9QWR8"
"79","Q6ZWQ9"
"80","Q9DCW4"
"81","Q61171"
"82","B7FAU9"
"83","P07356"
"84","Q9R0H0"
"85","Q9DCM0"
"86","Q6ZWY3"
"87","Q8JZV9"
"88","P70372"
"89","Q99P72"
"90","A2AGN7"
"91","Q9EQK5"
"92","P62702"
"93","P53986"
"94","A0A494BB97"
"95","Q9DCW5"
"96","Q9D0M5"
"97","Q0PGA1"
"98","P53810"
"99","Q99LB7"
"100","P68372"
"101","Q3V0K6"
"102","Q9D0S9"
"103","P61982"
"104","A0A075B5P6"
"105","P50285"
"106","Q99JR1"
"107","Q05144"
"108","G3UW41"
"109","A0A0R4J1J1"
"110","O70435"
"111","P17427"
"112","Q64462"
"113","Q9Z2U1"
"114","Q99LC5"
"115","O35381"
"116","Q501J6"
"117","P51150"
"118","O55142"
"119","Q3TCD4"
"120","Q9CQI6"
"121","O08692"
"122","A0A2K6EDM5"
"123","Q6IRU2"
"124","S4R1F2"
"125","Q8BGB5"
"126","P47199"
"127","P09405"
"128","Q9DCY0"
"129","A0A0G2JEJ0"
"130","Q921I1"
"131","P08207"
"132","Q9QUH0"
"133","Q9ERL7"
"134","Q91X72"
"135","E9QNN1"
"136","P50543"
"137","P05213"
"138","P62827"
"139","P29758"
"140","Q99KF1"
"141","Q99J39"
"142","A0A1Y7VM54"
"143","Q5U5V2"
"144","Q91XE4"
"145","Q9R1P3"
"146","P14483"
"147","Q00897"
"148","P62814"
"149","Q06890"
"150","E9Q8N8"
"151","Q8BH40"
"152","Q9QXD1"
"153","P14106"
"154","A0A338P7L8"
"155","D3YV37"
"156","Q99L13"
"157","Q8CHT0"
"158","P24369"
"159","Q3U7R1"
"160","Q922Q1"
"161","A0A087WS03"
"162","G3X9T8"
"163","P62717"
"164","P45952"
"165","P62806"
"166","P42125"
"167","Q91Z53"
"168","K3W4R2"
"169","P10126"
"170","P19253"
"171","P27005"
"172","H3BJY1"
"173","Q8BGJ5"
"174","Q3TWV4"
"175","Q8BMF4"
"176","Q6P9Q4"
"177","Q9WV54"
"178","O08807"
"179","P99024"
"180","Q3TML0"
"181","Q62433"
"182","P97470"
"183","Q8K0B2"
"184","A0A0N4SV66"
"185","A2AJX3"
"186","Q9CQX8"
"187","Q8CG76"
"188","A0A0R4J023"
"189","Q8BJ64"
"190","P56480"
"191","Q91X17"
"192","A0A3Q4L326"
"193","P13020"
"194","Q6P5H2"
"195","P30681"
"196","Q3TMX0"
"197","E9Q1J7"
"198","P70441"
"199","Q8VDM4"
"200","Q9D8L5"
"201","P97379"
"202","O09172"
"203","Q9JI48"
"204","Q3V0K9"
"205","Q8CFA2"
"206","Q3URS9"
"207","Q91VA0"
"208","Q9DBG5"
"209","Q8CGK3"
"210","Q91V41"
"211","Q9CR51"
"212","Q62465"
"213","Q9D172"
"214","O35604"
"215","P03953"
