"","x"
"1","A0A087WPL1"
"2","Q6NS54"
"3","A0A0R4J1V0"
"4","A0A1B0GT66"
"5","A0A1L1SV25"
"6","A1BN54"
"7","A2AE89"
"8","A2AFS1"
"9","H3BLI9"
"10","Q8VCQ8"
"11","E9PVU0"
"12","E9Q805"
"13","E9Q8N8"
"14","M0QWU8"
"15","P14869"
"16","P15105"
"17","P17563"
"18","P28843"
"19","P31001"
"20","P48678"
"21","P52760"
"22","P55264"
"23","P97315"
"24","P97379"
"25","Q06318"
"26","Q3TNA1"
"27","Q3UF75"
"28","Q921L6"
"29","Q62188"
"30","Q64442"
"31","Q6P5H2"
"32","Q91Y97"
"33","Q925B0"
"34","Q9CZY3"
"35","Q9D939"
"36","Q9DCT8"
"37","Q9EQI8"
"38","Q9QXD6"
