"","x"
"1","A0A087WP24"
"2","A0A087WRE7"
"3","A0A0A0MQ68"
"4","A0A0A0MQC7"
"5","A0A0A6YVY4"
"6","A0A0A6YX18"
"7","A0A0N4SVE1"
"8","A0A0R4J023"
"9","A0A0R4J052"
"10","A0A0R4J083"
"11","A0A0R4J094"
"12","D3YTT4"
"13","A0A0R4J1H2"
"14","A0A0R4J1J1"
"15","A0A0R4J1V0"
"16","A0A0R4J203"
"17","A0A1B0GRV0"
"18","Q0PGA1"
"19","A0A1D5RLP7"
"20","A0A3B2WBE1"
"21","A0A338P6X2"
"22","A0A3Q4L326"
"23","A0A494BAF7"
"24","A0A494BB97"
"25","A2A4U9"
"26","A2A6J7"
"27","Q99N15"
"28","A2AJX3"
"29","A2AL50"
"30","A3KGL9"
"31","A3KGU7"
"32","B1AQW2"
"33","B1ASZ3"
"34","B1AU25"
"35","E9QAI5"
"36","D3YU60"
"37","D3Z041"
"38","D3Z2J6"
"39","D3Z7G8"
"40","E9PVU0"
"41","E9Q1J7"
"42","E9Q3V2"
"43","E9Q8N8"
"44","E9QMK9"
"45","G5E8R3"
"46","E9QPK1"
"47","F7ARZ1"
"48","G5E850"
"49","G5E8R2"
"50","K3W4L7"
"51","K3W4R2"
"52","O08749"
"53","O08966"
"54","O09172"
"55","O09174"
"56","O88696"
"57","O88844"
"58","O88909"
"59","O88986"
"60","P08249"
"61","S4R191"
"62","P10648"
"63","P11352"
"64","P15105"
"65","P16332"
"66","P17563"
"67","Q9D881"
"68","P24270"
"69","P29758"
"70","P30115"
"71","P35486"
"72","P35505"
"73","P38647"
"74","P42125"
"75","Q9DCW5"
"76","P45952"
"77","P46656"
"78","P47199"
"79","P50285"
"80","P50518"
"81","P50544"
"82","P52196"
"83","P52503"
"84","P52825"
"85","P53395"
"86","P53986"
"87","P54071"
"88","Q8BTN3"
"89","P55302"
"90","P56382"
"91","P56389"
"92","P56391"
"93","P56480"
"94","P57016"
"95","P57746"
"96","P61027"
"97","P61922"
"98","P62814"
"99","P63038"
"100","P70404"
"101","P70441"
"102","P85094"
"103","P97314"
"104","P97379"
"105","Q03265"
"106","Q04646"
"107","Q07417"
"108","Q2TPA8"
"109","Q3TCD4"
"110","Q3TLP5"
"111","Q3TNA1"
"112","Q3TQC7"
"113","Q3U3G8"
"114","Q3U3J1"
"115","Q3U422"
"116","Q3UEG6"
"117","Q3UF75"
"118","Q3UNZ8"
"119","Q3URE1"
"120","Q3UXD9"
"121","Q3V0K6"
"122","Q3V0K9"
"123","Q59J78"
"124","Q5U5V2"
"125","Z4YJV4"
"126","Q921L6"
"127","Q60936"
"128","Q61425"
"129","Q62261"
"130","Q62433"
"131","Q62468"
"132","Q64433"
"133","Q64442"
"134","Q64462"
"135","Q6P3A8"
"136","Q6P8N8"
"137","Q7TNG8"
"138","Q80UM7"
"139","Q8BFR5"
"140","Q8BGA8"
"141","Q8BGC4"
"142","Q8BGX2"
"143","Q8BGY7"
"144","Q8BH95"
"145","Q8BJ64"
"146","Q8BMC1"
"147","Q8BMF4"
"148","Q8BMS4"
"149","Q8BWF0"
"150","Q8BWM0"
"151","Q8BWT1"
"152","Z4YK42"
"153","Q8CAQ8"
"154","Q8CBD0"
"155","Q8CFA2"
"156","Q8CG76"
"157","Q8CGK3"
"158","Q8CHT0"
"159","Q8CIH5"
"160","Q8JZN7"
"161","Q8JZQ2"
"162","Q8JZV9"
"163","Q8K0D5"
"164","Q8K0L3"
"165","Q8K1Z0"
"166","Q8K215"
"167","Q8K370"
"168","Q8QZS1"
"169","Q8QZT1"
"170","Q8R086"
"171","Q8R0F8"
"172","Q8R164"
"173","Q8R4N0"
"174","Q8VCH0"
"175","Q8VCZ9"
"176","Q91VA0"
"177","Q91VA7"
"178","Q91VM9"
"179","Q91WR5"
"180","Q91X52"
"181","Q91XE0"
"182","Q91XE4"
"183","Q91XH5"
"184","Q91Y97"
"185","Q91YH6"
"186","Q91YI0"
"187","Q91YP0"
"188","Q91Z53"
"189","Q91ZA3"
"190","Q922D8"
"191","Q99K67"
"192","Q99KI0"
"193","Q99KR3"
"194","Q99L13"
"195","Q99LB2"
"196","Q99LB7"
"197","Q99LC5"
"198","Q99MR8"
"199","Q9CPZ8"
"200","Q9CQ62"
"201","Q9CQF3"
"202","Q9CQR4"
"203","Q9CQV1"
"204","Q9CQZ5"
"205","Q9CR51"
"206","Q9CRB9"
"207","Q9CXJ4"
"208","Q9CZN7"
"209","Q9CZR8"
"210","Q9CZU6"
"211","Q9CZY3"
"212","Q9D051"
"213","Q9D0K2"
"214","Q9D0S9"
"215","Q9D172"
"216","Q9D1H8"
"217","Q9D1I5"
"218","Q9D404"
"219","Q9D6Y7"
"220","Q9D8T7"
"221","Q9D939"
"222","Q9D964"
"223","Q9DAT5"
"224","Q9DBL1"
"225","Q9DBM2"
"226","Q9DCM0"
"227","Q9DCS2"
"228","Q9DCS3"
"229","Q9DCW4"
"230","Q9DCY0"
"231","Q9EP89"
"232","Q9EPL9"
"233","Q9EQ20"
"234","Q9EQI8"
"235","Q9ERT9"
"236","Q9JHI5"
"237","Q9JHW2"
"238","Q9JII6"
"239","Q9JIK9"
"240","Q9JIY7"
"241","Q9JLJ2"
"242","Q9JLQ0"
"243","Q9NYQ2"
"244","Q9QXD1"
"245","Q9QXD6"
"246","Q9QXN5"
"247","Q9QYR9"
"248","Q9R0H0"
"249","Q9WTP6"
"250","Q9WTP7"
"251","Q9WU79"
"252","Q9WUM5"
