"Uniprot_Accession","Uniprot_ID","KEGG_ID","Pathway_ID","Pathway_name"
"Q8C142","ARH_MOUSE","mmu:100017","path:mmu04979","Cholesterol metabolism - Mus musculus (mouse)"
"Q8C142","ARH_MOUSE","mmu:100017","path:mmu04144","Endocytosis - Mus musculus (mouse)"
"J3QMC5","J3QMC5_MOUSE","mmu:100019","path:mmu03008","Ribosome biogenesis in eukaryotes - Mus musculus (mouse)"
"Q91YW3","DNJC3_MOUSE","mmu:100037258","path:mmu05164","Influenza A - Mus musculus (mouse)"
"Q91YW3","DNJC3_MOUSE","mmu:100037258","path:mmu04141","Protein processing in endoplasmic reticulum - Mus musculus (mouse)"
"K7N6Q1","K7N6Q1_MOUSE","mmu:100038859","path:mmu04740","Olfactory transduction - Mus musculus (mouse)"
"A0PK55","A0PK55_MOUSE","mmu:100038860","path:mmu04740","Olfactory transduction - Mus musculus (mouse)"
"Q64339","ISG15_MOUSE","mmu:100038882","path:mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (mouse)"
"Q64339","ISG15_MOUSE","mmu:100038882","path:mmu05169","Epstein-Barr virus infection - Mus musculus (mouse)"
"Q64339","ISG15_MOUSE","mmu:100038882","path:mmu05165","Human papillomavirus infection - Mus musculus (mouse)"
"E9Q1Z6","E9Q1Z6_MOUSE","mmu:100038909","path:mmu04380","Osteoclast differentiation - Mus musculus (mouse)"
"E9Q1Z6","E9Q1Z6_MOUSE","mmu:100038909","path:mmu04662","B cell receptor signaling pathway - Mus musculus (mouse)"
"E9QPZ2","E9QPZ2_MOUSE","mmu:100038927","path:mmu05150","Staphylococcus aureus infection - Mus musculus (mouse)"
"E9QPZ2","E9QPZ2_MOUSE","mmu:100038927","path:mmu04621","NOD-like receptor signaling pathway - Mus musculus (mouse)"
"E9QPZ2","E9QPZ2_MOUSE","mmu:100038927","path:mmu05202","Transcriptional misregulation in cancer - Mus musculus (mouse)"
"Q1AN90","Q1AN90_MOUSE","mmu:100038947","path:mmu04380","Osteoclast differentiation - Mus musculus (mouse)"
"P70225","I11RB_MOUSE","mmu:100038993","path:mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (mouse)"
"P70225","I11RB_MOUSE","mmu:100038993","path:mmu04640","Hematopoietic cell lineage - Mus musculus (mouse)"
"P70225","I11RB_MOUSE","mmu:100038993","path:mmu04630","JAK-STAT signaling pathway - Mus musculus (mouse)"
"O70460","CCL19_MOUSE","mmu:100039053","path:mmu04062","Chemokine signaling pathway - Mus musculus (mouse)"
"O70460","CCL19_MOUSE","mmu:100039053","path:mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (mouse)"
"O70460","CCL19_MOUSE","mmu:100039053","path:mmu04064","NF-kappa B signaling pathway - Mus musculus (mouse)"
"O70460","CCL19_MOUSE","mmu:100039053","path:mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (mouse)"
"A2ART4","A2ART4_MOUSE","mmu:100039060","path:mmu05168","Herpes simplex virus 1 infection - Mus musculus (mouse)"
"S4R1E0","S4R1E0_MOUSE","mmu:100039319","path:mmu04217","Necroptosis - Mus musculus (mouse)"
