"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"1","A0A067XG53;O70589","A0A067XG53;O70589","A0A067XG53;O70589","1;1","1;1","1;1","Peripheral plasma membrane protein CASK (Fragment) OS=Mus musculus OX=10090 GN=Cask PE=1 SV=1;Peripheral plasma membrane protein CASK OS=Mus musculus OX=10090 GN=Cask PE=1 SV=2",2,1,1,1
"2","A0A075B5P6;A0A075B6A0;P01872","A0A075B5P6;A0A075B6A0;P01872","A0A075B5P6;A0A075B6A0;P01872","5;5;5","5;5;5","5;5;5","Immunoglobulin heavy constant mu (Fragment) OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=1;Immunoglobulin heavy constant mu (Fragment) OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=2;Immunoglobulin heavy constant mu OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=2",3,5,5,5
"3","A0A075B6A3;A0A0A6YXW6;P01878","A0A075B6A3;A0A0A6YXW6;P01878","A0A075B6A3;A0A0A6YXW6","3;3;1","3;3;1","3;3;1","Immunoglobulin heavy constant alpha (Fragment) OS=Mus musculus OX=10090 GN=Igha PE=1 SV=1;Immunoglobulin heavy constant alpha (Fragment) OS=Mus musculus OX=10090 GN=Igha PE=1 SV=1",3,3,3,3
"4","A0A087WNP6;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49","A0A087WNP6;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49","A0A087WNP6;Q4VAA2","7;7;3;1;1","7;7;3;1;1","7;7;3;1;1","Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=1;Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2",5,7,7,7
"5","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4","4;4;4;3","4;4;4;3","4;4;4;3","Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1",4,4,4,4
"6","A0A087WNU1;A0A087WPM0;Q3UQA7","A0A087WNU1;A0A087WPM0;Q3UQA7","A0A087WNU1;A0A087WPM0;Q3UQA7","1;1;1","1;1;1","1;1;1","Selenoprotein H OS=Mus musculus OX=10090 GN=Selenoh PE=1 SV=1;Selenoprotein H OS=Mus musculus OX=10090 GN=Selenoh PE=1 SV=1;Selenoprotein H OS=Mus musculus OX=10090 GN=Selenoh PE=1 SV=2",3,1,1,1
"7","A0A087WNZ7;G5E870;A0A087WRV6","A0A087WNZ7;G5E870;A0A087WRV6","A0A087WNZ7;G5E870","3;3;1","3;3;1","3;3;1","E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1;E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1",3,3,3,3
"8","A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7","A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7","A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7","5;5;5;5;5;3","5;5;5;5;5;3","5;5;5;5;5;3","Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus mus",6,5,5,5
"9","A0A087WRL3;A0A087WP81;Q9WUP7","A0A087WRL3;A0A087WP81;Q9WUP7","A0A087WRL3;A0A087WP81;Q9WUP7","1;1;1","1;1;1","1;1;1","Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Fragment) OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=1;Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Fragment) OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=1;Ubiquitin carboxyl-terminal hydrolase isozyme L5",3,1,1,1
"10","A0A087WP83;Q8VDJ3;A0A087WPH2;A0A087WQY9;A0A087WPC5;A0A087WS92","A0A087WP83;Q8VDJ3;A0A087WPH2;A0A087WQY9;A0A087WPC5;A0A087WS92","A0A087WP83;Q8VDJ3","5;5;1;1;1;1","5;5;1;1;1;1","5;5;1;1;1;1","Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1;Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1",6,5,5,5
"11","A0A0J9YU08;A0A087WPE8;Q6P3Z3","A0A0J9YU08;A0A087WPE8;Q6P3Z3","A0A0J9YU08;A0A087WPE8;Q6P3Z3","1;1;1","1;1;1","1;1;1","THAP domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thap4 PE=1 SV=1;THAP domain-containing protein 4 (Fragment) OS=Mus musculus OX=10090 GN=Thap4 PE=1 SV=1;THAP domain-containing protein 4 OS=Mus musculus OX=10090 GN=Thap4 PE=1 SV=1",3,1,1,1
"12","A0A087WPL1;F7C957;Q8R1G6","A0A087WPL1;F7C957;Q8R1G6","A0A087WPL1;F7C957;Q8R1G6","2;2;2","2;2;2","2;2;2","PDZ and LIM domain protein 2 OS=Mus musculus OX=10090 GN=Pdlim2 PE=1 SV=1;PDZ and LIM domain protein 2 (Fragment) OS=Mus musculus OX=10090 GN=Pdlim2 PE=1 SV=1;PDZ and LIM domain protein 2 OS=Mus musculus OX=10090 GN=Pdlim2 PE=1 SV=1",3,2,2,2
