Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AS_G0_A	Peptides AS_G0_B	Peptides AS_G0_C	Peptides AS_G1_A	Peptides AS_G1_B	Peptides AS_G1_C	Peptides WT_G0_A	Peptides WT_G0_B	Peptides WT_G0_C	Razor + unique peptides AS_G0_A	Razor + unique peptides AS_G0_B	Razor + unique peptides AS_G0_C	Razor + unique peptides AS_G1_A	Razor + unique peptides AS_G1_B	Razor + unique peptides AS_G1_C	Razor + unique peptides WT_G0_A	Razor + unique peptides WT_G0_B	Razor + unique peptides WT_G0_C	Unique peptides AS_G0_A	Unique peptides AS_G0_B	Unique peptides AS_G0_C	Unique peptides AS_G1_A	Unique peptides AS_G1_B	Unique peptides AS_G1_C	Unique peptides WT_G0_A	Unique peptides WT_G0_B	Unique peptides WT_G0_C	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type AS_G0_A	Identification type AS_G0_B	Identification type AS_G0_C	Identification type AS_G1_A	Identification type AS_G1_B	Identification type AS_G1_C	Identification type WT_G0_A	Identification type WT_G0_B	Identification type WT_G0_C	Sequence coverage AS_G0_A [%]	Sequence coverage AS_G0_B [%]	Sequence coverage AS_G0_C [%]	Sequence coverage AS_G1_A [%]	Sequence coverage AS_G1_B [%]	Sequence coverage AS_G1_C [%]	Sequence coverage WT_G0_A [%]	Sequence coverage WT_G0_B [%]	Sequence coverage WT_G0_C [%]	Intensity	Intensity AS_G0_A	Intensity AS_G0_B	Intensity AS_G0_C	Intensity AS_G1_A	Intensity AS_G1_B	Intensity AS_G1_C	Intensity WT_G0_A	Intensity WT_G0_B	Intensity WT_G0_C	iBAQ	iBAQ AS_G0_A	iBAQ AS_G0_B	iBAQ AS_G0_C	iBAQ AS_G1_A	iBAQ AS_G1_B	iBAQ AS_G1_C	iBAQ WT_G0_A	iBAQ WT_G0_B	iBAQ WT_G0_C	LFQ intensity AS_G0_A	LFQ intensity AS_G0_B	LFQ intensity AS_G0_C	LFQ intensity AS_G1_A	LFQ intensity AS_G1_B	LFQ intensity AS_G1_C	LFQ intensity WT_G0_A	LFQ intensity WT_G0_B	LFQ intensity WT_G0_C	MS/MS count AS_G0_A	MS/MS count AS_G0_B	MS/MS count AS_G0_C	MS/MS count AS_G1_A	MS/MS count AS_G1_B	MS/MS count AS_G1_C	MS/MS count WT_G0_A	MS/MS count WT_G0_B	MS/MS count WT_G0_C	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A067XG53;O70589	A0A067XG53;O70589	1;1	1;1	1;1	Peripheral plasma membrane protein CASK	Cask	Peripheral plasma membrane protein CASK (Fragment) OS=Mus musculus OX=10090 GN=Cask PE=1 SV=1;Peripheral plasma membrane protein CASK OS=Mus musculus OX=10090 GN=Cask PE=1 SV=2	2	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1.7	1.7	1.7	99.226	871	871;926	0.0044683	6.8436				By matching				By MS/MS		0	0	0	1.7	0	0	0	1.7	0	5134100	0	0	0	1070800	0	0	0	4063200	0	119400	0	0	0	24903	0	0	0	94493	0	0	0	0	0	0	0	0	3059900	0	0	0	0	0	0	0	0	1	0	1				0	12091	True	12379	73870;73871	41908	41908		
A0A075B5P6;A0A075B6A0;P01872	A0A075B5P6;A0A075B6A0;P01872	5;5;5	5;5;5	5;5;5	Ig mu chain C region	Ighm	Immunoglobulin heavy constant mu (Fragment) OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=1;Immunoglobulin heavy constant mu (Fragment) OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=2;Immunoglobulin heavy constant mu OS=Mus musculus OX=10090 GN=Ighm PE=1 SV=2	3	5	5	5	2	4	4	1	2	2	0	0	1	2	4	4	1	2	2	0	0	1	2	4	4	1	2	2	0	0	1	17.4	17.4	17.4	49.943	455	455;476;454	0	30.922	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching			By matching	5.3	13.2	12.5	3.5	5.3	5.3	0	0	1.8	76695000	10592000	31329000	28684000	844760	1837400	1929800	0	0	1479500	3652200	504360	1491800	1365900	40226	87493	91895	0	0	70452	0	77372000	26568000	0	27921000	0	0	0	0	0	3	3	0	1	0	0	0	0	7				1	4449;4946;5374;7964;12620	True;True;True;True;True	4529;5037;5471;8121;12919	26898;29518;29519;32094;32095;32096;32097;32098;32099;48920;77253;77254;77255;77256;77257;77258	15668;17115;17116;18534;18535;27815;44062	15668;17115;18534;27815;44062		
A0A075B6A3;A0A0A6YXW6;P01878	A0A075B6A3;A0A0A6YXW6	3;3;1	3;3;1	3;3;1		Igha	Immunoglobulin heavy constant alpha (Fragment) OS=Mus musculus OX=10090 GN=Igha PE=1 SV=1;Immunoglobulin heavy constant alpha (Fragment) OS=Mus musculus OX=10090 GN=Igha PE=1 SV=1	3	3	3	3	1	3	0	0	2	0	0	0	0	1	3	0	0	2	0	0	0	0	1	3	0	0	2	0	0	0	0	15.7	15.7	15.7	36.718	344	344;389;344	0	26.705	By matching	By MS/MS			By matching					4.9	15.7	0	0	9.6	0	0	0	0	27090000	4165200	20865000	0	0	2060400	0	0	0	0	2257500	347100	1738700	0	0	171700	0	0	0	0	0	48370000	0	0	22835000	0	0	0	0	0	4	0	0	0	0	0	0	0	4				2	1902;2284;2311	True;True;True	1938;2331;2358	11756;11757;14089;14090;14246;14247;14248	6893;6894;8312;8400	6893;8312;8400		
A0A087WNP6;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49	A0A087WNP6;Q4VAA2	7;7;3;1;1	7;7;3;1;1	7;7;3;1;1	Protein CDV3	Cdv3	Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=1;Protein CDV3 OS=Mus musculus OX=10090 GN=Cdv3 PE=1 SV=2	5	7	7	7	5	2	4	4	0	1	2	5	6	5	2	4	4	0	1	2	5	6	5	2	4	4	0	1	2	5	6	53.2	53.2	53.2	24.196	235	235;281;154;109;154	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	36.6	16.2	22.6	32.8	0	6.4	23	43	36.6	203650000	55658000	5690300	23701000	8644300	0	504940	1904400	49216000	58330000	15665000	4281400	437720	1823100	664950	0	38842	146490	3785800	4486900	54554000	20074000	24661000	24413000	0	0	19538000	39627000	31224000	2	1	1	1	0	0	1	5	4	15				3	186;903;904;4130;11257;11607;12043	True;True;True;True;True;True;True	190;919;920;4207;11533;11886;12331	1054;1055;1056;1057;1058;1059;1060;5464;5465;5466;5467;5468;5469;5470;5471;5472;5473;5474;25226;25227;25228;25229;25230;25231;68861;68862;68863;68864;70962;70963;70964;73617	595;596;597;598;599;600;3203;3204;3205;14733;14734;39092;40264;40265;41764	599;3203;3204;14733;39092;40264;41764		
A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4	A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4	4;4;4;3	4;4;4;3	4;4;4;3	Transcription elongation factor B polypeptide 1	Tceb1	Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1;Elongin-C (Fragment) OS=Mus musculus OX=10090 GN=Eloc PE=1 SV=1	4	4	4	4	3	2	2	2	0	0	0	4	3	3	2	2	2	0	0	0	4	3	3	2	2	2	0	0	0	4	3	60	60	60	10.657	95	95;134;112;51	0	33.84	By MS/MS	By matching	By matching	By matching				By MS/MS	By MS/MS	49.5	25.3	28.4	25.3	0	0	0	60	38.9	39580000	10753000	2207100	5582300	1612400	0	0	0	12154000	7272100	5654300	1536100	315300	797470	230340	0	0	0	1736200	1038900	8489200	7859300	7137000	7596600	0	0	0	6298700	4766500	1	0	0	0	0	0	0	3	2	6				4	1286;3487;8038;13302	True;True;True;True	1308;3558;8196;13612	7878;7879;21282;21283;21284;21285;49343;49344;49345;49346;81354;81355;81356;81357;81358;81359	4537;4538;12531;28045;46407;46408	4537;12531;28045;46407		
A0A087WNU1;A0A087WPM0;Q3UQA7	A0A087WNU1;A0A087WPM0;Q3UQA7	1;1;1	1;1;1	1;1;1	Selenoprotein H	2700094K13Rik;Selh	Selenoprotein H OS=Mus musculus OX=10090 GN=Selenoh PE=1 SV=1;Selenoprotein H OS=Mus musculus OX=10090 GN=Selenoh PE=1 SV=1;Selenoprotein H OS=Mus musculus OX=10090 GN=Selenoh PE=1 SV=2	3	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	25.7	25.7	25.7	11.169	101	101;123;116	0.0019286	7.7225					By matching			By MS/MS		0	0	0	0	25.7	0	0	25.7	0	3089100	0	0	0	0	663930	0	0	2425100	0	617810	0	0	0	0	132790	0	0	485030	0	0	0	0	0	0	0	0	1826300	0	0	0	0	0	0	0	0	1	0	1				5	5639	True	5741	33586;33587	19373	19373		
A0A087WNZ7;G5E870;A0A087WRV6	A0A087WNZ7;G5E870	3;3;1	3;3;1	3;3;1	E3 ubiquitin-protein ligase TRIP12	Trip12	E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1;E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus OX=10090 GN=Trip12 PE=1 SV=1	3	3	3	3	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	2	1	2	2	2	220.66	1992	1992;2025;830	0	18.704	By MS/MS							By MS/MS	By MS/MS	0.9	0	0	0	0	0	0	1.2	1.2	4114800	1007600	0	0	0	0	0	0	1619000	1488200	41988	10282	0	0	0	0	0	0	16520	15186	0	0	0	0	0	0	0	0	981820	1	0	0	0	0	0	0	1	1	3				6	8168;8526;8527	True;True;True	8326;8687;8688	50168;52235;52236;52237	28461;29569;29570	28461;29569;29570		
A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7	A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7	5;5;5;5;5;3	5;5;5;5;5;3	5;5;5;5;5;3	Alpha/beta hydrolase domain-containing protein 14B	Abhd14b	Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1;Protein ABHD14B (Fragment) OS=Mus mus	6	5	5	5	1	1	1	3	1	2	2	4	5	1	1	1	3	1	2	2	4	5	1	1	1	3	1	2	2	4	5	36.6	36.6	36.6	14.948	142	142;151;174;194;210;210	0	92.947	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	7.7	14.1	7.7	21.8	7.7	14.1	17.6	30.3	36.6	65227000	3695600	1543700	1167800	3564000	301390	1469800	1389700	12700000	39395000	8153400	461950	192970	145970	445500	37673	183730	173710	1587500	4924400	0	0	0	8815500	0	13114000	12786000	15992000	17996000	0	0	0	1	0	0	1	3	3	8				7	784;785;1787;4638;7449	True;True;True;True;True	798;799;1820;4722;7595	4808;4809;4810;4811;4812;4813;4814;4815;4816;4817;4818;4819;10911;10912;10913;27842;27843;27844;45774;45775	2815;2816;2817;2818;6353;16195;16196;26036	2816;2818;6353;16196;26036		
A0A087WRL3;A0A087WP81;Q9WUP7	A0A087WRL3;A0A087WP81;Q9WUP7	1;1;1	1;1;1	1;1;1	Ubiquitin carboxyl-terminal hydrolase isozyme L5	Uchl5	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Fragment) OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=1;Ubiquitin carboxyl-terminal hydrolase isozyme L5 (Fragment) OS=Mus musculus OX=10090 GN=Uchl5 PE=1 SV=1;Ubiquitin carboxyl-terminal hydrolase isozyme L5	3	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	15	15	15	19.564	167	167;225;329	0.0076857	6.4845	By MS/MS									15	0	0	0	0	0	0	0	0	569290	569290	0	0	0	0	0	0	0	0	63255	63255	0	0	0	0	0	0	0	0	569290	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1				8	3454	True	3525	21064	12406	12406		
A0A087WP83;Q8VDJ3;A0A087WPH2;A0A087WQY9;A0A087WPC5;A0A087WS92	A0A087WP83;Q8VDJ3	5;5;1;1;1;1	5;5;1;1;1;1	5;5;1;1;1;1	Vigilin	Hdlbp	Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1;Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1	6	5	5	5	2	1	2	1	0	1	1	5	2	2	1	2	1	0	1	1	5	2	2	1	2	1	0	1	1	5	2	9.9	9.9	9.9	134.21	1199	1199;1268;22;129;141;178	0	39.385	By MS/MS	By matching	By matching	By matching		By MS/MS	By matching	By MS/MS	By MS/MS	3.7	1.1	3.7	1.1	0	1.1	1.1	9.9	2.3	80426000	30168000	2697200	10788000	3170900	0	780310	1143300	16640000	15037000	1297200	486580	43503	174010	51144	0	12586	18441	268390	242540	29765000	0	0	0	0	0	0	12934000	0	1	0	0	0	0	1	0	4	1	7				9	2401;3021;6018;6607;12131	True;True;True;True;True	2449;3082;6129;6739;12419	14735;14736;14737;18514;36153;36154;36155;36156;36157;36158;36159;36160;40151;74121;74122	8677;10943;20770;20771;20772;23136;42012;42013	8677;10943;20770;23136;42013		
